id_anssi,title,published,link,type,cve_id
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),"Tue, 13 May 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,avis,CVE-2025-43010
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),"Tue, 13 May 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,avis,CVE-2024-39592
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),"Tue, 13 May 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,avis,CVE-2025-30018
CERTFR-2025-AVI-0469,Vulnérabilité dans les produits Synology (02 juin 2025),"Mon, 02 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0469/,avis,CVE-2025-5293
CERTFR-2025-AVI-0470,Vulnérabilité dans les produits Moxa (02 juin 2025),"Mon, 02 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0470/,avis,CVE-2002-20001
CERTFR-2025-AVI-0468,Vulnérabilité dans Roundcube (02 juin 2025),"Mon, 02 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0468/,avis,CVE-2025-49113
CERTFR-2025-AVI-0471,Multiples vulnérabilités dans Google Chrome (03 juin 2025),"Tue, 03 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0471/,avis,CVE-2025-5419
CERTFR-2025-AVI-0471,Multiples vulnérabilités dans Google Chrome (03 juin 2025),"Tue, 03 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0471/,avis,CVE-2025-5068
CERTFR-2025-AVI-0472,Multiples vulnérabilités dans Google Android (03 juin 2025),"Tue, 03 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0472/,avis,CVE-2025-26443
CERTFR-2025-AVI-0472,Multiples vulnérabilités dans Google Android (03 juin 2025),"Tue, 03 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0472/,avis,CVE-2025-26452
